Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Wednesday, Mar 29",NYM,H,CHC,L,3,5,,0-1,5,0.5,Lieber,Hampton,Aguilera,3:26,N,55000,0.94,-1,,2000
2,"Thursday, Mar 30",NYM,A,CHC,W,5,1,11,1-1,1,Tied,Cook,Young,,3:55,N,55000,0.9,1,,2000
3,"Monday, Apr 3",NYM,H,SDP,W,2,1,,2-1,1,Tied,Leiter,Wall,Benitez,2:24,D,52308,0.95,2,,2000
4,"Wednesday, Apr 5",NYM,H,SDP,L,0,4,,2-2,2,0.5,Williams,Jones,,3:04,N,17585,1.02,-1,,2000
5,"Thursday, Apr 6",NYM,H,SDP,L,5,8,,2-3,4,1.0,Clement,Hampton,,3:22,N,17482,1,-2,,2000
6,"Friday, Apr 7",NYM,H,LAD,W,2,1,,3-3,2,0.5,Reed,Dreifort,Benitez,2:33,N,27791,0.9,1,,2000
7,"Saturday, Apr 8",NYM,H,LAD,L,5,6,10,3-4,4,1.0,Fetters,Benitez,Shaw,3:42,D,37814,0.98,-1,,2000
8,"Monday, Apr 10",NYM,A,PHI,L,7,9,,3-5,5,1.5,Telemaco,Rodriguez,Gomes,3:02,N,47115,0.99,-2,,2000
9,"Wednesday, Apr 12",NYM,A,PHI,L,5,8,,3-6,5,2.0,Person,Hampton,Gomes,3:09,N,15269,0.97,-3,,2000
10,"Thursday, Apr 13",NYM,A,PHI,W,2,1,,4-6,5,1.0,Cook,Aldred,Benitez,3:18,N,14552,0.9,1,,2000
11,"Friday, Apr 14",NYM,A,PIT,W,8,5,12,5-6,4,1.0,Franco,Silva,,4:10,N,20725,0.9,2,,2000
12,"Saturday, Apr 15",NYM,A,PIT,L,0,2,,5-7,4,1.5,Anderson,Rusch,Williams,1:57,D,19592,0.94,-1,,2000
13,"Sunday, Apr 16",NYM,A,PIT,W,12,9,,6-7,4,1.0,Mahomes,Peters,Benitez,3:41,D,20724,0.88,1,,2000
14,"Tuesday, Apr 18",NYM,H,MIL,W,10,7,,7-7,4,1.5,Hampton,Navarro,Benitez,3:17,N,17905,0.93,2,,2000
15,"Wednesday, Apr 19",NYM,H,MIL,W,3,1,,8-7,4,0.5,Reed,Bere,Benitez,3:16,N,18001,0.98,3,,2000
16,"Thursday, Apr 20",NYM,H,MIL,W-wo,5,4,10,9-7,3,0.5,Wendell,Leskanic,,3:29,N,17002,1.01,4,,2000
17,"Saturday, Apr 22 (1)",NYM,H,CHC,W,8,3,,10-7,2,0.5,Rusch,Lieber,,2:48,D,NA,1.05,5,2000-04-21 (Rain),2000
18,"Saturday, Apr 22 (2)",NYM,H,CHC,W,7,6,,11-7,2,0.5,Cook,Farnsworth,Benitez,3:02,D,32204,1.1,6,,2000
19,"Sunday, Apr 23",NYM,H,CHC,W,15,8,,12-7,2,0.5,Hampton,Tapani,,3:08,D,27560,1.11,7,,2000
20,"Monday, Apr 24",NYM,H,LAD,W-wo,1,0,,13-7,1,Tied,Benitez,Adams,,2:56,D,37987,1.2,8,2000-04-09 (Snow),2000
21,"Tuesday, Apr 25",NYM,H,CIN,W,6,5,,14-7,1,Tied,Wendell,Sullivan,Benitez,3:32,N,27153,1.17,9,,2000
