Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
22,"Wednesday, Apr 26",NYM,H,CIN,L,1,12,,14-8,2,1.0,Neagle,Springer,,2:57,N,33371,1.21,-1,,2000
23,"Thursday, Apr 27",NYM,H,CIN,L,1,2,12,14-9,2,2.0,Graves,Benitez,Sullivan,3:37,D,50971,1.19,-2,,2000
24,"Friday, Apr 28",NYM,A,COL,L,5,12,,14-10,3,3.0,Astacio,Hampton,,3:00,N,45366,1.15,-3,,2000
25,"Saturday, Apr 29",NYM,A,COL,W,13,6,,15-10,2,3.0,Reed,Yoshii,,2:56,D,41220,1.13,1,,2000
26,"Sunday, Apr 30",NYM,A,COL,W,14,11,,16-10,2,3.0,Leiter,Bohanon,,3:15,D,36252,1.17,2,,2000
27,"Monday, May 1",NYM,A,SFG,L,3,10,,16-11,2,4.0,Estes,Pulsipher,,2:50,N,40930,1.21,-1,,2000
28,"Tuesday, May 2",NYM,A,SFG,L,1,7,,16-12,2,5.0,Hernández,Rusch,,2:17,N,40930,1.21,-2,,2000
29,"Wednesday, May 3",NYM,A,SFG,L-wo,5,8,11,16-13,2,5.0,Rodriguez,Wendell,,4:06,D,40930,1.15,-3,,2000
30,"Thursday, May 4",NYM,A,SFG,L,2,7,,16-14,2,5.5,Rodriguez,Reed,,2:40,D,40930,1.13,-4,,2000
31,"Friday, May 5",NYM,A,FLA,W,4,1,,17-14,2,5.5,Leiter,Sanchez,Franco,3:12,N,30229,1.15,1,,2000
32,"Saturday, May 6",NYM,A,FLA,L,1,9,,17-15,3,5.5,Fernandez,Pulsipher,,2:57,N,33401,1.18,-1,,2000
33,"Sunday, May 7",NYM,A,FLA,L,0,3,,17-16,3,5.5,Dempster,Rusch,,2:17,D,25147,1.14,-2,,2000
34,"Tuesday, May 9",NYM,A,PIT,W,2,0,,18-16,3,5.0,Hampton,Benson,Benitez,2:42,N,14015,1.01,1,,2000
35,"Wednesday, May 10",NYM,A,PIT,L,9,13,,18-17,3,5.0,Silva,Cook,,3:29,N,13711,1.07,-1,,2000
36,"Thursday, May 11",NYM,A,PIT,W,3,2,,19-17,2,4.0,Leiter,Anderson,,2:47,N,16264,1.01,1,,2000
37,"Friday, May 12",NYM,H,FLA,L,4,6,,19-18,4,5.0,Dempster,Rusch,Alfonseca,3:18,N,30828,1.21,-1,,2000
38,"Saturday, May 13",NYM,H,FLA,L,6,7,,19-19,4,6.0,Mahay,Cook,Alfonseca,3:38,D,32772,1.12,-2,,2000
39,"Sunday, May 14",NYM,H,FLA,W,5,1,,20-19,4,6.0,Hampton,Penny,,2:40,D,36162,1.05,1,,2000
40,"Tuesday, May 16",NYM,H,COL,L,3,4,11,20-20,4,7.0,Tavarez,Wendell,Jimenez,3:36,N,25697,1,-1,,2000
41,"Wednesday, May 17",NYM,H,COL,W,4,2,,21-20,4,7.0,Leiter,Arrojo,Franco,2:57,N,23665,0.92,1,,2000
42,"Friday, May 19",NYM,H,ARI,W,4,3,,22-20,3,6.5,Jones,Stottlemyre,Benitez,2:55,N,25292,0.96,2,,2000
43,"Saturday, May 20",NYM,H,ARI,W,8,7,,23-20,3,6.5,Hampton,Daal,Benitez,2:57,D,37121,1.05,3,,2000
44,"Sunday, May 21",NYM,H,ARI,W-wo,7,6,,24-20,3,6.5,Wendell,Kim,,3:13,D,38826,1.12,4,,2000
45,"Monday, May 22",NYM,A,SDP,L,0,1,,24-21,3,7.0,Clement,Franco,Hoffman,2:18,N,17966,1.11,-1,,2000
46,"Tuesday, May 23",NYM,A,SDP,W,5,3,10,25-21,3,6.0,Wendell,Hoffman,Benitez,2:58,D,25783,1.03,1,,2000
47,"Wednesday, May 24",NYM,A,SDP,L,4,5,,25-22,3,7.0,Wall,Mahomes,Hoffman,2:44,N,19405,1.11,-1,,2000
48,"Friday, May 26",NYM,A,STL,W,5,2,,26-22,3,6.5,Hampton,Thompson,Benitez,3:17,N,40028,1.09,1,,2000
49,"Saturday, May 27",NYM,A,STL,W,12,8,,27-22,2,6.5,Cook,Veres,,3:53,N,48690,1.17,2,,2000
50,"Sunday, May 28",NYM,A,STL,W,6,2,,28-22,2,5.5,Rusch,Kile,,2:40,D,46344,1.26,3,,2000
51,"Monday, May 29",NYM,A,LAD,L,1,4,,28-23,2,6.5,Park,Leiter,,2:53,D,43084,1.32,-1,,2000
52,"Tuesday, May 30",NYM,A,LAD,W,10,5,,29-23,2,6.5,Franco,Shaw,,4:09,N,26102,1.34,1,,2000
53,"Wednesday, May 31",NYM,A,LAD,L-wo,3,4,,29-24,2,7.0,Fetters,Wendell,,2:54,N,31323,1.36,-1,,2000
54,"Friday, Jun 2",NYM,H,TBD,W,5,3,,30-24,2,5.5,Rusch,White,Benitez,2:36,N,24123,1.21,1,,2000
55,"Saturday, Jun 3",NYM,H,TBD,W,1,0,,31-24,2,5.5,Leiter,Trachsel,Benitez,3:01,N,33694,1.23,2,,2000
56,"Sunday, Jun 4",NYM,H,TBD,L,5,15,,31-25,3,5.5,Yan,Jones,,3:10,D,43610,1.24,-1,,2000
57,"Monday, Jun 5",NYM,H,BAL,L,2,4,,31-26,3,5.5,Mussina,Hampton,Timlin,3:13,N,25192,1.2,-2,,2000
58,"Wednesday, Jun 7",NYM,H,BAL,W,11,3,,32-26,2,5.0,Mahomes,Erickson,,3:29,N,34492,1.18,1,,2000
59,"Thursday, Jun 8",NYM,H,BAL,W-wo,8,7,10,33-26,2,4.5,Cook,Mercedes,,3:40,N,9540,1.31,2,2000-06-06 (Rain),2000
60,"Friday, Jun 9",NYM,A,NYY,W,12,2,,34-26,2,4.5,Leiter,Clemens,,3:30,N,55822,1.3,3,,2000
61,"Saturday, Jun 10",NYM,A,NYY,L,5,13,,34-27,2,5.5,Pettitte,Jones,,3:13,D,55839,1.41,-1,,2000
62,"Tuesday, Jun 13",NYM,A,CHC,L,3,4,,34-28,2,5.5,Heredia,Franco,Aguilera,2:42,N,38879,1.34,-2,,2000
63,"Wednesday, Jun 14",NYM,A,CHC,W,10,8,,35-28,2,5.5,Rusch,Garibay,Benitez,3:40,D,38625,1.34,1,,2000
64,"Friday, Jun 16",NYM,A,MIL,W,7,1,,36-28,2,4.0,Leiter,Haynes,,2:44,N,18979,1.39,2,,2000
65,"Saturday, Jun 17",NYM,A,MIL,L,2,3,,36-29,2,4.0,Snyder,Rusch,Wickman,2:50,N,26125,1.4,-1,,2000
66,"Sunday, Jun 18",NYM,A,MIL,W,7,3,,37-29,2,4.0,Reed,Bere,,2:48,D,20133,1.41,1,,2000
67,"Tuesday, Jun 20",NYM,H,PHI,L,2,3,10,37-30,2,4.5,Brock,Benitez,Brantley,3:08,N,40386,1.46,-1,,2000
68,"Wednesday, Jun 21",NYM,H,PHI,L,5,10,,37-31,2,4.5,Gomes,Franco,,3:28,N,22524,1.42,-2,,2000
69,"Thursday, Jun 22",NYM,H,PHI,W,5,4,,38-31,2,4.5,Rusch,Politte,Cook,2:41,N,21005,1.4,1,,2000
70,"Friday, Jun 23",NYM,H,PIT,W,12,2,,39-31,2,4.5,Jones,Arroyo,,2:48,N,39849,1.44,2,,2000
71,"Saturday, Jun 24",NYM,H,PIT,W,10,8,,40-31,2,3.5,Franco,Loiselle,Benitez,3:25,N,34894,1.46,3,,2000
72,"Sunday, Jun 25",NYM,H,PIT,W,9,0,,41-31,2,3.5,Hampton,Benson,,2:42,D,38984,1.47,4,,2000
73,"Monday, Jun 26",NYM,H,FLA,W,10,5,,42-31,2,3.0,Leiter,Cornelius,,3:30,N,19657,1.69,5,,2000
74,"Tuesday, Jun 27",NYM,H,FLA,W,5,2,,43-31,2,2.0,Rusch,Sanchez,Benitez,2:44,N,22103,1.67,6,,2000
75,"Wednesday, Jun 28",NYM,H,FLA,W,6,5,,44-31,2,2.0,Jones,Penny,Franco,3:15,N,37252,1.65,7,,2000
76,"Thursday, Jun 29",NYM,H,ATL,L,4,6,,44-32,2,3.0,Burkett,Reed,Ligtenberg,3:21,N,46998,1.84,-1,,2000
77,"Friday, Jun 30",NYM,H,ATL,W,11,8,,45-32,2,2.0,Benitez,Mulholland,,3:25,N,52831,1.84,1,,2000
78,"Saturday, Jul 1",NYM,H,ATL,W,9,1,,46-32,2,1.0,Leiter,Maddux,,2:38,D,44593,1.83,2,,2000
79,"Sunday, Jul 2",NYM,H,ATL,L,2,10,,46-33,2,2.0,Glavine,Rusch,,2:48,D,45261,1.84,-1,,2000
80,"Monday, Jul 3",NYM,A,FLA,L-wo,0,2,,46-34,2,2.0,Almanza,Wendell,,3:11,N,15844,1.73,-2,,2000
81,"Tuesday, Jul 4",NYM,A,FLA,L,8,9,,46-35,2,3.0,Darensbourg,Jones,Alfonseca,3:15,D,24935,1.82,-3,,2000
82,"Wednesday, Jul 5",NYM,A,FLA,W,11,2,,47-35,2,2.0,Hampton,Smith,,3:12,N,14765,1.83,1,,2000
83,"Friday, Jul 7",NYM,H,NYY,L,1,2,,47-36,2,2.5,Hernandez,Leiter,Rivera,2:54,N,54132,1.61,-1,,2000
84,"Saturday, Jul 8 (1)",NYM,H,NYY,L,2,4,,47-37,2,4.0,Gooden,Jones,Rivera,3:16,D,54165,1.58,-2,2000-06-11 (Rain),2000
85,"Saturday, Jul 8 (2)",NYM,A,NYY,L,2,4,,47-38,2,4.0,Clemens,Rusch,Rivera,2:36,N,55821,1.61,-3,,2000
86,"Sunday, Jul 9",NYM,H,NYY,W,2,0,,48-38,2,3.0,Hampton,Pettitte,Benitez,3:11,D,54286,1.6,1,,2000
87,"Thursday, Jul 13",NYM,A,BOS,L-wo,3,4,,48-39,2,4.0,Garces,Benitez,,3:10,N,33894,1.61,-1,,2000
88,"Friday, Jul 14",NYM,A,BOS,W,6,4,,49-39,2,4.0,Mahomes,Lowe,Benitez,3:21,N,33293,1.66,1,,2000
89,"Saturday, Jul 15",NYM,A,BOS,L,4,6,,49-40,2,5.0,Martinez,Hampton,Lowe,3:00,D,33213,1.69,-1,,2000
90,"Sunday, Jul 16",NYM,A,TOR,L,3,7,,49-41,2,6.0,Halladay,Leiter,Koch,3:01,D,30139,1.63,-2,,2000
91,"Monday, Jul 17",NYM,A,TOR,W,7,5,11,50-41,2,5.0,Franco,Borbon,Benitez,4:12,N,23129,1.64,1,,2000
92,"Tuesday, Jul 18",NYM,A,TOR,W,11,7,,51-41,2,5.0,Jones,Carpenter,,3:27,N,24633,1.67,2,,2000
93,"Wednesday, Jul 19",NYM,A,MON,W,5,3,,52-41,2,4.5,Mahomes,Kline,Benitez,2:59,N,14198,1.76,3,,2000
94,"Thursday, Jul 20",NYM,A,MON,L,1,4,,52-42,2,5.0,Hermanson,Hampton,Strickland,2:31,D,13641,1.77,-1,,2000
95,"Friday, Jul 21",NYM,A,ATL,L,3,6,,52-43,2,6.0,Burkett,Leiter,Remlinger,2:44,N,49313,2.01,-2,,2000
96,"Saturday, Jul 22",NYM,A,ATL,W,4,0,,53-43,2,5.0,Reed,Maddux,,2:27,D,48141,1.92,1,,2000
97,"Sunday, Jul 23",NYM,A,ATL,L,0,1,,53-44,2,6.0,Ashby,Jones,,2:59,D,46872,2,-1,,2000
98,"Tuesday, Jul 25",NYM,H,MON,W,5,0,,54-44,2,6.0,Rusch,Hermanson,,2:47,N,41028,1.85,1,,2000
99,"Thursday, Jul 27 (1)",NYM,H,MON,W,9,8,,55-44,2,5.0,Franco,Strickland,Benitez,3:27,D,NA,1.93,2,2000-07-26 (Rain),2000
100,"Thursday, Jul 27 (2)",NYM,H,MON,W,4,3,,56-44,2,5.0,Hampton,Irabu,,2:33,D,35088,1.9,3,,2000
101,"Friday, Jul 28",NYM,H,STL,W,3,2,,57-44,2,5.0,Leiter,Hentgen,Benitez,2:58,N,42396,1.79,4,,2000
102,"Saturday, Jul 29",NYM,H,STL,W,4,3,,58-44,2,5.0,White,James,Benitez,3:01,D,50726,1.78,5,,2000
103,"Sunday, Jul 30",NYM,H,STL,W,4,2,,59-44,2,5.0,Jones,Stephenson,,2:29,D,45733,1.75,6,,2000
104,"Monday, Jul 31",NYM,H,CIN,L,0,6,,59-45,2,5.5,Williamson,Rusch,Luebbers,3:05,N,42774,1.75,-1,,2000
105,"Tuesday, Aug 1",NYM,H,CIN,W,3,2,,60-45,2,5.5,Hampton,Parris,Benitez,2:51,N,39572,1.91,1,,2000
106,"Wednesday, Aug 2",NYM,H,CIN,W,2,1,,61-45,2,4.5,Leiter,Dessens,Benitez,2:46,D,42111,1.79,2,,2000
107,"Friday, Aug 4",NYM,A,ARI,W,6,1,,62-45,2,4.0,Reed,Johnson,Cook,2:49,N,41832,2.05,3,,2000
108,"Saturday, Aug 5",NYM,A,ARI,W,6,2,,63-45,2,3.0,Jones,Guzman,White,3:10,N,41656,1.92,4,,2000
109,"Sunday, Aug 6",NYM,A,ARI,L,5,9,,63-46,2,4.0,Reynoso,Rusch,Mantei,3:11,D,39641,1.69,-1,,2000
110,"Monday, Aug 7",NYM,A,HOU,W,6,5,11,64-46,2,3.0,Benitez,Green,,3:55,N,36536,1.51,1,,2000
111,"Tuesday, Aug 8",NYM,A,HOU,L,3,9,,64-47,2,4.0,Powell,Leiter,,2:55,N,38031,1.42,-1,,2000
112,"Wednesday, Aug 9",NYM,A,HOU,W,12,5,,65-47,2,3.0,Reed,Lima,,3:02,N,35432,1.53,1,,2000
113,"Thursday, Aug 10",NYM,A,HOU,W,10,3,,66-47,2,2.5,Jones,McKnight,,3:06,D,37870,1.35,2,,2000
114,"Friday, Aug 11",NYM,H,SFG,W,4,1,,67-47,2,2.5,Rusch,Gardner,Benitez,2:41,N,33944,1.45,3,,2000
115,"Saturday, Aug 12",NYM,H,SFG,W,3,2,,68-47,2,2.5,Hampton,Rodriguez,Benitez,3:12,N,50064,1.37,4,,2000
116,"Sunday, Aug 13",NYM,H,SFG,W,2,0,,69-47,2,1.5,Leiter,Hernández,Franco,2:43,D,39841,1.06,5,,2000
117,"Monday, Aug 14",NYM,H,SFG,L,1,11,,69-48,2,2.5,Ortiz,Reed,,2:59,N,35296,0.94,-1,,2000
118,"Tuesday, Aug 15 (1)",NYM,H,COL,W,7,5,,70-48,2,2.0,Cook,House,Benitez,3:25,N,NA,1.07,1,2000-05-18 (Rain),2000
119,"Tuesday, Aug 15 (2)",NYM,H,COL,W,4,3,,71-48,2,2.0,Jones,Chouinard,Benitez,2:51,N,29744,0.89,2,,2000
120,"Wednesday, Aug 16",NYM,H,COL,L,5,7,,71-49,2,3.0,Bohanon,Rusch,White,2:39,N,29832,0.81,-1,,2000
121,"Thursday, Aug 17",NYM,H,COL,W,13,2,,72-49,2,2.5,Wendell,Yoshii,,2:42,D,42697,1.07,1,,2000
122,"Friday, Aug 18",NYM,A,LAD,W,5,3,,73-49,2,1.5,White,Adams,Benitez,3:42,N,47486,0.99,2,,2000
123,"Saturday, Aug 19",NYM,A,LAD,L,1,4,,73-50,2,1.5,Park,Reed,,2:27,D,53051,0.89,-1,,2000
124,"Sunday, Aug 20",NYM,A,LAD,W,9,6,,74-50,2,1.5,Wendell,Adams,Benitez,3:21,D,46122,1.15,1,,2000
125,"Monday, Aug 21",NYM,A,SDP,L-wo,4,5,10,74-51,2,2.5,Hoffman,Cook,,3:25,N,21234,0.91,-1,,2000
126,"Tuesday, Aug 22",NYM,A,SDP,L,1,16,,74-52,2,2.5,Eaton,Mahomes,Erdos,2:41,D,24919,1.01,-2,,2000
127,"Wednesday, Aug 23",NYM,A,SDP,W,4,1,,75-52,2,2.5,Leiter,Clement,Benitez,2:51,N,26376,1.02,1,,2000
128,"Friday, Aug 25",NYM,H,ARI,W,13,3,,76-52,2,2.0,Reed,Johnson,,3:09,N,38237,1.3,2,,2000
129,"Saturday, Aug 26",NYM,H,ARI,L,1,5,10,76-53,2,2.0,Plesac,White,,3:14,N,43985,1.05,-1,,2000
130,"Sunday, Aug 27",NYM,H,ARI,W,2,1,,77-53,2,1.0,Hampton,Reynoso,Benitez,2:29,D,42277,1.31,1,,2000
131,"Monday, Aug 28",NYM,H,HOU,W,4,2,,78-53,1,Tied,Rusch,Powell,Wendell,2:22,N,28472,0.62,2,,2000
132,"Tuesday, Aug 29",NYM,H,HOU,L,1,11,,78-54,1,Tied,Miller,Leiter,,3:07,N,39967,0.46,-1,,2000
133,"Wednesday, Aug 30",NYM,H,HOU,W,1,0,,79-54,1,Tied,Reed,Holt,Benitez,2:25,N,42507,0.66,1,,2000
134,"Friday, Sep 1",NYM,A,STL,L-wo,5,6,,79-55,1,up 0.5,Veres,Mahomes,,3:35,N,39056,0.61,-1,,2000
135,"Saturday, Sep 2",NYM,A,STL,L-wo,1,2,,79-56,2,0.5,Kile,Hampton,,2:39,D,41483,0.7,-2,,2000
136,"Sunday, Sep 3",NYM,A,STL,L-wo,3,4,11,79-57,2,0.5,Morris,White,,3:36,D,42133,0.82,-3,,2000
137,"Monday, Sep 4",NYM,A,CIN,L,2,6,,79-58,2,1.0,Dessens,Leiter,,3:05,D,26571,1.17,-4,,2000
138,"Tuesday, Sep 5",NYM,A,CIN,W,3,2,10,80-58,2,1.0,Wendell,Sullivan,Benitez,3:12,N,22664,1.34,1,,2000
139,"Wednesday, Sep 6",NYM,A,CIN,L,8,11,,80-59,2,2.0,Riedling,Franco,Graves,3:35,D,24681,0.92,-1,,2000
140,"Friday, Sep 8",NYM,H,PHI,L,0,2,,80-60,2,3.5,Padilla,Hampton,Brantley,3:13,N,38808,0.82,-2,,2000
141,"Saturday, Sep 9",NYM,H,PHI,L,3,6,,80-61,2,3.5,Person,Wendell,,3:24,N,42324,1.16,-3,,2000
142,"Sunday, Sep 10",NYM,H,PHI,W,3,0,,81-61,2,2.5,Leiter,Daal,,2:40,D,53775,1.62,1,,2000
143,"Monday, Sep 11",NYM,H,MIL,L,2,8,,81-62,2,3.0,Rigdon,Reed,,2:52,N,21797,1.16,-1,,2000
144,"Tuesday, Sep 12",NYM,H,MIL,W,10,2,,82-62,2,2.0,Jones,Snyder,,2:57,N,22570,1.28,1,,2000
145,"Wednesday, Sep 13",NYM,H,MIL,W-wo,4,1,10,83-62,2,2.0,Benitez,Acevedo,,3:15,D,22510,1.09,2,,2000
146,"Thursday, Sep 14",NYM,A,MON,W,10,4,,84-62,2,2.0,Rusch,Thurman,,2:51,N,6219,0.94,3,,2000
147,"Friday, Sep 15",NYM,A,MON,L,3,4,,84-63,2,2.0,Vazquez,Wendell,Strickland,2:49,N,6979,0.68,-1,,2000
148,"Saturday, Sep 16",NYM,A,MON,W,10,4,,85-63,2,2.0,Reed,Hermanson,,3:22,N,9045,1.03,1,,2000
149,"Sunday, Sep 17",NYM,A,MON,L,0,5,,85-64,2,3.0,Armas,Jones,,2:32,D,9349,0.5,-1,,2000
150,"Monday, Sep 18",NYM,A,ATL,L,3,6,,85-65,2,4.0,Maddux,Hampton,Rocker,2:46,N,41937,0.47,-2,,2000
151,"Tuesday, Sep 19",NYM,A,ATL,L,4,12,,85-66,2,5.0,Ashby,Rusch,,3:13,N,46584,0.5,-3,,2000
152,"Wednesday, Sep 20",NYM,A,ATL,W,6,3,,86-66,2,4.0,Leiter,Glavine,Benitez,3:35,N,48278,0.54,1,,2000
153,"Thursday, Sep 21",NYM,A,PHI,L-wo,5,6,,86-67,2,4.5,Brantley,White,,3:13,N,17769,0.24,-1,,2000
154,"Friday, Sep 22",NYM,A,PHI,W,9,6,,87-67,2,3.5,Jones,Wolf,Benitez,3:13,N,21128,0.3,1,,2000
155,"Saturday, Sep 23",NYM,A,PHI,W,7,3,,88-67,2,3.5,Hampton,Politte,,3:46,N,22570,0.08,2,,2000
156,"Sunday, Sep 24",NYM,A,PHI,W,3,2,,89-67,2,3.5,Rusch,Chen,Benitez,2:26,D,31391,0.02,3,,2000
157,"Tuesday, Sep 26",NYM,H,ATL,L,1,7,,89-68,2,5.0,Burkett,Leiter,,3:19,N,48270,0.01,-1,,2000
158,"Wednesday, Sep 27",NYM,H,ATL,W,6,2,,90-68,2,4.0,Reed,Millwood,,2:35,N,48858,0.01,1,,2000
159,"Thursday, Sep 28",NYM,H,ATL,W,8,2,,91-68,2,3.0,Jones,Maddux,,2:33,N,52134,0,2,,2000
160,"Friday, Sep 29",NYM,H,MON,W,11,2,,92-68,2,2.0,Hampton,Thurman,,2:42,N,28788,0,3,,2000
161,"Saturday, Sep 30",NYM,H,MON,W,4,2,,93-68,2,2.0,Wendell,Vazquez,Benitez,2:33,N,39468,0,4,,2000
162,"Sunday, Oct 1",NYM,H,MON,W-wo,3,2,13,94-68,2,1.0,Mahomes,Powell,,3:34,D,44869,0,5,,2000
1,"Tuesday, Apr 3",NYM,A,ATL,W,6,4,10,1-0,2,0.5,Cook,Ligtenberg,Benitez,3:17,D,42117,1.07,1,,2001
2,"Wednesday, Apr 4",NYM,A,ATL,L-wo,2,3,,1-1,4,1.5,Rocker,Wall,,3:18,N,27924,1.13,-1,,2001
3,"Thursday, Apr 5",NYM,A,ATL,W,7,1,,2-1,2,1.0,Reed,Perez,,2:53,N,34219,1.07,1,,2001
4,"Friday, Apr 6",NYM,A,MON,L,6,10,,2-2,4,1.0,Thurman,Rose,,2:43,N,45183,1.17,-1,,2001
5,"Saturday, Apr 7",NYM,A,MON,L,0,10,,2-3,4,2.0,Vazquez,Trachsel,,2:38,D,15317,1.09,-2,,2001
6,"Sunday, Apr 8",NYM,A,MON,L,2,5,,2-4,4,3.0,Peters,Leiter,Urbina,3:34,D,11321,1.07,-3,,2001
7,"Monday, Apr 9",NYM,H,ATL,W,9,4,,3-4,3,3.0,Appier,Millwood,,3:03,D,53640,0.96,1,,2001
8,"Wednesday, Apr 11",NYM,H,ATL,L,0,2,,3-5,4,3.0,Maddux,Reed,Rocker,2:04,N,36048,1.03,-1,,2001
9,"Thursday, Apr 12",NYM,H,ATL,W-wo,1,0,10,4-5,3,2.5,Benitez,Ligtenberg,,2:52,N,27694,0.98,1,,2001
10,"Friday, Apr 13",NYM,H,CIN,L,2,3,,4-6,4,2.5,Fernandez,Trachsel,Graves,2:53,N,38243,0.9,-1,,2001
11,"Saturday, Apr 14",NYM,H,CIN,L,0,1,,4-7,4,3.5,Reitsma,Leiter,Graves,2:25,D,55067,0.88,-2,,2001
12,"Sunday, Apr 15",NYM,H,CIN,L,1,3,,4-8,5,3.5,Brower,Appier,Graves,3:23,D,39643,0.81,-3,,2001
13,"Monday, Apr 16",NYM,H,MON,W,4,3,,5-8,4,3.0,Reed,Thurman,Benitez,2:45,N,18241,0.91,1,,2001
14,"Tuesday, Apr 17",NYM,H,MON,W,4,0,,6-8,4,3.0,Rusch,Peters,,2:39,N,20177,0.95,2,,2001
15,"Wednesday, Apr 18",NYM,H,MON,L,1,7,,6-9,4,2.5,Vazquez,Trachsel,,2:52,D,20721,0.99,-1,,2001
16,"Friday, Apr 20",NYM,A,CIN,L,5,9,,6-10,5,3.5,Fernandez,Leiter,Brower,2:43,N,26557,0.81,-2,,2001
17,"Saturday, Apr 21",NYM,A,CIN,W,5,2,,7-10,5,3.5,Appier,Reitsma,Benitez,2:48,D,28135,0.77,1,,2001
18,"Sunday, Apr 22",NYM,A,CIN,W,5,1,,8-10,3,3.5,Reed,Dessens,,2:57,D,30682,0.85,2,,2001
19,"Tuesday, Apr 24",NYM,A,MIL,L,4,6,,8-11,3,5.0,DeJean,Wall,Leskanic,3:08,N,27404,0.89,-1,,2001
20,"Wednesday, Apr 25",NYM,A,MIL,L,2,7,,8-12,4,6.0,Haynes,Trachsel,Weathers,2:48,N,30353,0.83,-2,,2001
21,"Thursday, Apr 26",NYM,A,MIL,L,8,12,,8-13,4,6.0,Fox,Hinchliffe,,3:28,D,25233,0.77,-3,,2001
22,"Friday, Apr 27",NYM,A,STL,L,0,9,,8-14,5,6.0,Morris,Appier,,3:11,N,40674,0.71,-4,,2001
23,"Saturday, Apr 28",NYM,A,STL,W,6,5,11,9-14,4,5.0,Benitez,James,,3:57,D,43843,0.69,1,,2001
24,"Sunday, Apr 29",NYM,A,STL,L,1,12,,9-15,5,5.0,Kile,Rusch,,2:52,D,38401,0.76,-1,,2001
25,"Monday, Apr 30",NYM,H,HOU,W,8,2,,10-15,5,4.5,Trachsel,Elarton,,3:22,N,19083,0.7,1,,2001
26,"Tuesday, May 1",NYM,H,HOU,W,7,5,,11-15,4,4.5,Martin,Cruz,Benitez,3:31,N,25619,0.75,2,,2001
