Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
81,"Sunday, Jun 29",NYM,H,NYY,W,3,1,,40-41,3,3.0,Perez,Rasner,Wagner,3:00,D,56277,0.97,1,,2008
82,"Monday, Jun 30",NYM,A,STL,L,1,7,,40-42,3,3.5,Lohse,Maine,,2:48,N,42206,1.16,-1,,2008
83,"Tuesday, Jul 1",NYM,A,STL,W,7,4,,41-42,3,3.5,Armas,Wellemeyer,Wagner,2:40,N,42425,1.07,1,,2008
84,"Wednesday, Jul 2",NYM,A,STL,L-wo,7,8,,41-43,3,4.5,Franklin,Muniz,,3:21,N,40995,1.15,-1,,2008
85,"Thursday, Jul 3",NYM,A,STL,W,11,1,,42-43,3,4.5,Pelfrey,Boggs,,2:37,N,43099,1.05,1,,2008
86,"Friday, Jul 4",NYM,A,PHI,L-wo,2,3,,42-44,3,5.5,Lidge,Sanchez,,2:34,N,44922,1.48,-1,,2008
87,"Saturday, Jul 5",NYM,A,PHI,W,9,4,,43-44,3,4.5,Feliciano,Romero,,3:06,N,45190,1.32,1,,2008
88,"Sunday, Jul 6",NYM,A,PHI,W,4,2,12,44-44,3,3.5,Smith,Durbin,,4:25,D,45203,1.55,2,,2008
89,"Monday, Jul 7",NYM,A,PHI,W,10,9,,45-44,3,2.5,Martinez,Eaton,Wagner,3:37,N,44655,1.68,3,,2008
90,"Tuesday, Jul 8",NYM,H,SFG,W,7,0,,46-44,2,1.5,Pelfrey,Lincecum,,2:38,N,48887,1.32,4,,2008
91,"Wednesday, Jul 9",NYM,H,SFG,W,5,0,,47-44,2,1.5,Santana,Sanchez,,2:42,N,48896,1.4,5,,2008
92,"Thursday, Jul 10",NYM,H,SFG,W,7,3,,48-44,2,1.5,Schoeneweis,Romo,,3:10,D,48755,1.47,6,,2008
93,"Friday, Jul 11",NYM,H,COL,W,2,1,,49-44,2,1.5,Feliciano,Buchholz,Wagner,2:52,N,49016,1.5,7,,2008
94,"Saturday, Jul 12",NYM,H,COL,W,3,0,,50-44,2,0.5,Muniz,Jimenez,Wagner,2:43,D,54137,1.53,8,,2008
95,"Sunday, Jul 13",NYM,H,COL,W,7,0,,51-44,2,0.5,Pelfrey,Redman,,2:34,N,51293,1.56,9,,2008
96,"Thursday, Jul 17",NYM,A,CIN,W,10,8,,52-44,1,Tied,Sanchez,Cordero,Wagner,3:43,N,23681,1.65,10,,2008
97,"Friday, Jul 18",NYM,A,CIN,L,2,5,,52-45,2,1.0,Arroyo,Maine,Cordero,2:28,N,31922,1.71,-1,,2008
98,"Saturday, Jul 19",NYM,A,CIN,L,2,7,,52-46,2,1.0,Fogg,Perez,,2:50,N,41959,1.68,-2,,2008
99,"Sunday, Jul 20",NYM,A,CIN,W,7,5,10,53-46,1,Tied,Sanchez,Bray,Wagner,3:25,D,31195,1.64,1,,2008
100,"Tuesday, Jul 22",NYM,H,PHI,L,6,8,,53-47,2,1.0,Durbin,Smith,Lidge,3:13,N,55081,2.29,-1,,2008
101,"Wednesday, Jul 23",NYM,H,PHI,W,6,3,,54-47,1,Tied,Maine,Madson,Wagner,2:46,N,53444,2.15,1,,2008
102,"Thursday, Jul 24",NYM,H,PHI,W,3,1,,55-47,1,up 1.0,Heilman,Romero,Wagner,2:18,D,50962,2.29,2,,2008
103,"Friday, Jul 25",NYM,H,STL,W,7,2,,56-47,1,up 2.0,Pelfrey,Boggs,,2:44,N,55372,1.84,3,,2008
104,"Saturday, Jul 26",NYM,H,STL,L,8,10,14,56-48,1,up 1.0,Thompson,Heilman,,5:09,N,53799,1.87,-1,,2008
105,"Sunday, Jul 27",NYM,H,STL,W,9,1,,57-48,1,up 1.0,Santana,Lohse,,2:30,D,53691,1.83,1,,2008
106,"Monday, Jul 28",NYM,A,FLA,L,3,7,,57-49,1,up 0.5,Waechter,Smith,,3:15,N,23165,2.28,-1,,2008
107,"Tuesday, Jul 29",NYM,A,FLA,W,4,1,,58-49,1,up 0.5,Perez,Olsen,Wagner,3:01,N,25032,2.33,1,,2008
108,"Wednesday, Jul 30",NYM,A,FLA,L,5,7,,58-50,2,0.5,Johnson,Pelfrey,Gregg,2:48,N,25902,2.36,-1,,2008
109,"Friday, Aug 1",NYM,A,HOU,L,3,7,,58-51,2,1.0,Brocail,Heilman,,2:54,N,41083,1.79,-2,,2008
110,"Saturday, Aug 2",NYM,A,HOU,L-wo,4,5,10,58-52,3,2.0,Valverde,Heilman,,3:26,N,39152,1.79,-3,,2008
111,"Sunday, Aug 3",NYM,A,HOU,L,0,4,,58-53,3,3.0,Wolf,Perez,,2:46,D,38602,1.65,-4,,2008
112,"Tuesday, Aug 5",NYM,H,SDP,W,6,5,,59-53,3,2.0,Pelfrey,Adams,Schoeneweis,2:48,N,52130,1.56,1,,2008
113,"Wednesday, Aug 6",NYM,H,SDP,L,2,4,,59-54,3,3.0,Baek,Martinez,Hoffman,2:53,N,48018,1.62,-1,,2008
114,"Thursday, Aug 7",NYM,H,SDP,W-wo,5,3,,60-54,3,2.0,Heilman,Bell,,2:54,D,49352,1.48,1,,2008
115,"Friday, Aug 8",NYM,H,FLA,W,3,0,,61-54,2,1.0,Perez,Nolasco,Heilman,2:39,N,50307,2.11,2,,2008
116,"Saturday, Aug 9",NYM,H,FLA,W,8,6,,62-54,2,1.0,Schoeneweis,Olsen,Heilman,2:57,N,52484,2.39,3,,2008
117,"Sunday, Aug 10",NYM,H,FLA,L,2,8,,62-55,2,2.0,Johnson,Pelfrey,,2:45,D,54242,2.36,-1,,2008
118,"Monday, Aug 11",NYM,H,PIT,L,5,7,,62-56,2,2.0,Bautista,Heilman,Grabow,3:11,D,53534,1.71,-2,2008-04-28 (Rain),2008
119,"Tuesday, Aug 12",NYM,A,WSN,W,4,3,,63-56,2,1.0,Santana,Rivera,Feliciano,2:57,N,32186,1.6,1,,2008
120,"Wednesday, Aug 13",NYM,A,WSN,W,12,0,,64-56,1,Tied,Maine,Bergmann,Stokes,2:52,N,30814,1.78,2,,2008
121,"Thursday, Aug 14",NYM,A,WSN,W,9,3,,65-56,1,up 1.0,Perez,Balester,,2:43,N,31058,1.87,3,,2008
122,"Friday, Aug 15",NYM,A,PIT,W,2,1,,66-56,1,up 1.0,Pelfrey,Davis,Heilman,2:31,N,36418,1.93,4,,2008
123,"Saturday, Aug 16",NYM,A,PIT,W,7,4,,67-56,1,up 2.0,Martinez,Duke,Feliciano,2:43,N,37506,1.96,5,,2008
124,"Sunday, Aug 17",NYM,A,PIT,W,4,0,,68-56,1,up 2.0,Santana,Karstens,,2:42,D,36483,1.91,6,,2008
125,"Monday, Aug 18",NYM,A,PIT,L,2,5,,68-57,1,up 1.5,Burnett,Feliciano,Grabow,2:50,D,19066,1.91,-1,,2008
126,"Tuesday, Aug 19",NYM,H,ATL,W,7,3,,69-57,1,up 1.5,Heilman,Bennett,,2:57,N,50589,1.94,1,,2008
127,"Wednesday, Aug 20",NYM,H,ATL,W,6,3,,70-57,1,up 1.5,Pelfrey,Jurrjens,,2:08,N,50178,1.97,2,,2008
128,"Thursday, Aug 21",NYM,H,ATL,W-wo,5,4,,71-57,1,up 2.5,Ayala,Núñez,,2:58,N,51952,1.96,3,,2008
129,"Friday, Aug 22",NYM,H,HOU,W,3,0,,72-57,1,up 2.5,Santana,Oswalt,Ayala,2:18,N,52008,1.8,4,,2008
130,"Saturday, Aug 23",NYM,H,HOU,L,3,8,,72-58,1,up 1.5,Backe,Maine,,2:36,N,51766,1.8,-1,,2008
131,"Sunday, Aug 24",NYM,H,HOU,L,4,6,10,72-59,1,up 0.5,Hawkins,Feliciano,Valverde,3:12,D,49758,2.01,-2,,2008
132,"Monday, Aug 25",NYM,H,HOU,W,9,1,,73-59,1,up 0.5,Pelfrey,Moehler,,2:27,N,49791,2.13,1,,2008
133,"Tuesday, Aug 26",NYM,A,PHI,L-wo,7,8,13,73-60,2,0.5,Seanez,Schoeneweis,,5:17,N,45204,3.71,-1,,2008
134,"Wednesday, Aug 27",NYM,A,PHI,W,6,3,,74-60,1,up 0.5,Stokes,Seanez,Ayala,3:17,N,45138,3.93,1,,2008
135,"Friday, Aug 29",NYM,A,FLA,W,5,4,,75-60,1,up 2.0,Smith,Gregg,Ayala,3:09,N,20043,2.35,2,,2008
136,"Saturday, Aug 30",NYM,A,FLA,L-wo,3,4,,75-61,1,up 1.0,Lindstrom,Heilman,,3:19,N,28830,2.05,-1,,2008
137,"Sunday, Aug 31",NYM,A,FLA,W,6,2,,76-61,1,up 1.0,Martinez,Olsen,,3:04,D,16123,2.35,1,,2008
138,"Monday, Sep 1",NYM,A,MIL,W,4,2,,77-61,1,up 2.0,Figueroa,Gagne,Ayala,3:09,D,41476,2.34,2,,2008
139,"Tuesday, Sep 2",NYM,A,MIL,W,6,5,10,78-61,1,up 2.0,Smith,Torres,Ayala,3:21,N,36587,2.12,3,,2008
140,"Wednesday, Sep 3",NYM,A,MIL,W,9,2,,79-61,1,up 3.0,Perez,Bush,,2:52,D,26236,2.18,4,,2008
141,"Friday, Sep 5",NYM,H,PHI,L,0,3,,79-62,1,up 2.0,Myers,Pelfrey,Lidge,2:35,N,48302,2.84,-1,,2008
142,"Sunday, Sep 7 (1)",NYM,H,PHI,L,2,6,,79-63,1,up 2.0,Moyer,Martinez,,2:49,D,55797,4.1,-2,2008-09-06 (Rain expected),2008
143,"Sunday, Sep 7 (2)",NYM,H,PHI,W,6,3,,80-63,1,up 2.0,Santana,Hamels,,2:49,N,54980,4.79,1,,2008
144,"Tuesday, Sep 9",NYM,H,WSN,W,10,8,,81-63,1,up 2.5,Smith,Manning,Ayala,3:16,N,50382,2.49,2,,2008
145,"Wednesday, Sep 10",NYM,H,WSN,W,13,10,,82-63,1,up 3.5,Smith,Rivera,Ayala,3:24,N,52431,1.98,3,,2008
146,"Saturday, Sep 13 (1)",NYM,H,ATL,L,2,3,,82-64,1,up 2.5,Ridgway,Schoeneweis,Gonzalez,3:01,D,NA,1.68,-1,2008-09-12 (Rain),2008
147,"Saturday, Sep 13 (2)",NYM,H,ATL,W,5,0,,83-64,1,up 2.5,Niese,Reyes,,2:24,N,54705,2,1,,2008
148,"Sunday, Sep 14",NYM,H,ATL,L,4,7,,83-65,1,up 1.0,Julio,Ayala,Gonzalez,3:29,D,56041,1.95,-1,,2008
149,"Monday, Sep 15",NYM,A,WSN,L,2,7,,83-66,1,up 0.5,Lannan,Martinez,,2:42,N,21759,2.67,-2,,2008
150,"Tuesday, Sep 16",NYM,A,WSN,L,0,1,,83-67,2,0.5,Perez,Pelfrey,Hanrahan,2:38,N,24997,3.07,-3,,2008
151,"Wednesday, Sep 17",NYM,A,WSN,W,9,7,,84-67,2,0.5,Knight,Martis,Ayala,3:13,N,25019,3.5,1,,2008
152,"Thursday, Sep 18",NYM,A,WSN,W,7,2,,85-67,2,0.5,Santana,Redding,,2:45,N,25426,3.52,2,,2008
153,"Friday, Sep 19",NYM,A,ATL,W,9,5,,86-67,1,up 0.5,Feliciano,Tavarez,,3:25,N,42803,2.87,3,,2008
154,"Saturday, Sep 20",NYM,A,ATL,L,2,4,,86-68,2,0.5,Campillo,Martinez,Gonzalez,2:38,N,50124,1.72,-1,,2008
155,"Sunday, Sep 21",NYM,A,ATL,L,6,7,,86-69,2,1.5,Julio,Schoeneweis,Gonzalez,3:20,D,49222,1.8,-2,,2008
156,"Monday, Sep 22",NYM,H,CHC,L,5,9,,86-70,2,2.5,Marquis,Niese,Wood,3:21,N,51137,3.33,-3,,2008
157,"Tuesday, Sep 23",NYM,H,CHC,W,6,2,,87-70,2,1.5,Santana,Gaudin,Ayala,2:47,N,50615,4.22,1,,2008
158,"Wednesday, Sep 24",NYM,H,CHC,L,6,9,10,87-71,2,1.5,Howry,Ayala,Wood,4:04,N,54416,4.36,-1,,2008
159,"Thursday, Sep 25",NYM,H,CHC,W-wo,7,6,,88-71,2,1.0,Smith,Hart,,3:20,N,51174,6.21,1,,2008
160,"Friday, Sep 26",NYM,H,FLA,L,1,6,,88-72,2,2.0,Volstad,Pelfrey,,3:32,N,49545,7.06,-1,,2008
161,"Saturday, Sep 27",NYM,H,FLA,W,2,0,,89-72,2,2.0,Santana,Nolasco,,2:17,D,54920,5.74,1,,2008
162,"Sunday, Sep 28",NYM,H,FLA,L,2,4,,89-73,2,3.0,Nelson,Schoeneweis,Lindstrom,3:04,D,56059,10.33,-1,,2008
1,"Monday, Apr 6",NYM,A,CIN,W,2,1,,1-0,1,Tied,Santana,Harang,Rodriguez,3:17,D,42177,0.98,1,,2009
2,"Wednesday, Apr 8",NYM,A,CIN,W,9,7,,2-0,2,0.5,Pelfrey,Volquez,Rodriguez,3:54,N,13568,0.99,2,,2009
3,"Thursday, Apr 9",NYM,A,CIN,L,6,8,,2-1,2,1.0,Arroyo,Perez,Cordero,2:58,D,17837,1.04,-1,,2009
4,"Friday, Apr 10",NYM,A,FLA,L-wo,4,5,,2-2,3,2.0,Lindstrom,Feliciano,,3:32,N,24070,1.24,-2,,2009
5,"Saturday, Apr 11",NYM,A,FLA,W,8,4,,3-2,3,1.0,Hernández,Nolasco,,3:17,N,39412,1.14,1,,2009
6,"Sunday, Apr 12",NYM,A,FLA,L,1,2,,3-3,3,2.0,Johnson,Santana,,2:04,D,18109,1.17,-1,,2009
7,"Monday, Apr 13",NYM,H,SDP,L,5,6,,3-4,4,2.5,Mujica,Stokes,Bell,3:11,N,41007,0.95,-2,,2009
8,"Wednesday, Apr 15",NYM,H,SDP,W,7,2,,4-4,4,3.0,Perez,Correia,,2:57,N,35581,0.91,1,,2009
9,"Thursday, Apr 16",NYM,H,SDP,L,5,6,,4-5,4,4.0,Peavy,Maine,Bell,3:00,N,35985,0.96,-1,,2009
10,"Friday, Apr 17",NYM,H,MIL,W-wo,5,4,,5-5,2,4.0,Putz,McClung,,3:18,N,36436,0.92,1,,2009
11,"Saturday, Apr 18",NYM,H,MIL,W,1,0,,6-5,2,4.0,Santana,Villanueva,Rodriguez,2:33,D,36312,0.97,2,,2009
12,"Sunday, Apr 19",NYM,H,MIL,L,2,4,,6-6,2,5.0,Suppan,Figueroa,Coffey,3:03,D,36124,1.02,-1,,2009
13,"Tuesday, Apr 21",NYM,A,STL,L,4,6,,6-7,3,4.5,Motte,Putz,Franklin,2:53,N,35506,0.99,-2,,2009
14,"Wednesday, Apr 22",NYM,A,STL,L,2,5,,6-8,4,4.5,Pineiro,Maine,Franklin,2:25,N,35622,0.93,-3,,2009
15,"Thursday, Apr 23",NYM,A,STL,L,8,12,,6-9,4,5.0,Lohse,Hernández,,3:02,D,38522,0.92,-4,,2009
16,"Friday, Apr 24",NYM,H,WSN,W,4,3,,7-9,4,4.0,Santana,Olsen,Rodriguez,3:07,N,40522,0.9,1,,2009
17,"Saturday, Apr 25",NYM,H,WSN,W,8,2,,8-9,4,3.0,Pelfrey,Cabrera,,2:53,D,39960,0.91,2,,2009
18,"Sunday, Apr 26",NYM,H,WSN,L,1,8,,8-10,4,3.0,Zimmermann,Perez,,2:52,D,40023,1,-1,,2009
19,"Monday, Apr 27",NYM,H,FLA,W,7,1,,9-10,3,2.0,Maine,Sanchez,,2:40,N,38573,0.97,1,,2009
20,"Tuesday, Apr 28",NYM,H,FLA,L,4,7,,9-11,4,3.0,Badenhop,Green,Lindstrom,3:15,N,38546,1.11,-1,,2009
21,"Wednesday, Apr 29",NYM,H,FLA,L,3,4,,9-12,4,4.0,Pinto,Putz,Lindstrom,3:11,D,39339,1.01,-2,,2009
22,"Friday, May 1",NYM,A,PHI,W,7,4,,10-12,4,3.5,Pelfrey,Park,Rodriguez,3:13,N,44773,0.89,1,,2009
23,"Saturday, May 2",NYM,A,PHI,L-wo,5,6,10,10-13,4,3.5,Taschner,Green,,3:43,D,45069,0.99,-1,,2009
