Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
1,"Monday, Mar 31",NYM,A,FLA,W,7,2,,1-0,2,0.5,Santana,Hendrickson,,2:53,D,38308,1.05,1,,2008
2,"Tuesday, Apr 1",NYM,A,FLA,L-wo,4,5,10,1-1,2,1.0,Miller,Wise,,3:31,N,15117,1.16,-1,,2008
3,"Wednesday, Apr 2",NYM,A,FLA,W,13,0,,2-1,2,1.0,Perez,Miller,,2:55,N,13720,1.1,1,,2008
4,"Saturday, Apr 5",NYM,A,ATL,L,5,11,,2-2,2,0.5,Hudson,Maine,,3:27,D,36130,1.11,-1,,2008
5,"Sunday, Apr 6",NYM,A,ATL,L,1,3,,2-3,3,0.5,Smoltz,Santana,Soriano,2:35,D,39414,1.11,-2,,2008
6,"Tuesday, Apr 8",NYM,H,PHI,L,2,5,,2-4,3,1.5,Moyer,Schoeneweis,Gordon,3:18,D,56350,1.07,-3,,2008
7,"Wednesday, Apr 9",NYM,H,PHI,W,8,2,,3-4,2,1.5,Pelfrey,Kendrick,,3:03,N,47127,1.04,1,,2008
8,"Thursday, Apr 10",NYM,H,PHI,W-wo,4,3,12,4-4,2,1.5,Sosa,Gordon,,3:58,N,49045,1.09,2,,2008
9,"Friday, Apr 11",NYM,H,MIL,W,4,2,,5-4,2,1.5,Figueroa,Parra,Wagner,2:26,N,46214,1.03,3,,2008
10,"Saturday, Apr 12",NYM,H,MIL,L,3,5,,5-5,2,1.5,Sheets,Santana,Gagne,2:38,D,54701,1.03,-1,,2008
11,"Sunday, Apr 13",NYM,H,MIL,L,7,9,,5-6,2,1.5,Torres,Sosa,Gagne,3:42,D,52794,1.01,-2,,2008
12,"Tuesday, Apr 15",NYM,H,WSN,W,6,0,,6-6,2,1.5,Pelfrey,Perez,,3:01,N,46567,1.02,1,,2008
13,"Wednesday, Apr 16",NYM,H,WSN,W,5,2,,7-6,2,1.5,Maine,Chico,Wagner,2:37,N,46106,1.06,2,,2008
14,"Thursday, Apr 17",NYM,H,WSN,W-wo,3,2,14,8-6,2,0.5,Sosa,Hanrahan,,4:45,N,47785,1.1,3,,2008
15,"Friday, Apr 18",NYM,A,PHI,W,6,4,,9-6,1,up 0.5,Santana,Hamels,Wagner,2:49,N,45156,1.26,4,,2008
16,"Saturday, Apr 19",NYM,A,PHI,W,4,2,,10-6,1,up 0.5,Perez,Moyer,Wagner,3:21,D,45149,1.33,5,,2008
17,"Sunday, Apr 20",NYM,A,PHI,L,4,5,,10-7,2,0.5,Romero,Feliciano,Lidge,3:13,N,45173,1.31,-1,,2008
18,"Monday, Apr 21",NYM,A,CHC,L,1,7,,10-8,2,1.5,Zambrano,Maine,,2:45,N,40582,1.15,-2,,2008
19,"Tuesday, Apr 22",NYM,A,CHC,L,1,8,,10-9,2,1.5,Lilly,Figueroa,,3:15,D,40503,1.12,-3,,2008
20,"Wednesday, Apr 23",NYM,A,WSN,W,7,2,,11-9,2,1.5,Santana,Redding,,3:03,N,32780,1.11,1,,2008
21,"Thursday, Apr 24",NYM,A,WSN,L,5,10,,11-10,2,1.5,O'Connor,Perez,,3:11,N,29750,1.14,-1,,2008
22,"Friday, Apr 25",NYM,H,ATL,L,3,6,,11-11,4,2.5,Jurrjens,Pelfrey,,3:06,N,52495,1.19,-2,,2008
23,"Saturday, Apr 26",NYM,H,ATL,W,4,3,,12-11,3,1.5,Maine,Hudson,Wagner,2:56,D,51339,1.11,1,,2008
24,"Sunday, Apr 27",NYM,H,ATL,W,6,3,,13-11,2,1.5,Figueroa,Smoltz,Wagner,2:46,D,53487,1.18,2,,2008
25,"Tuesday, Apr 29",NYM,H,PIT,W-wo,5,4,11,14-11,2,0.5,Sosa,Van Benschoten,,3:54,N,46982,1.08,3,,2008
26,"Wednesday, Apr 30",NYM,H,PIT,L,1,13,,14-12,2,0.5,Gorzelanny,Perez,,2:55,D,46788,1.11,-1,,2008
27,"Friday, May 2",NYM,A,ARI,W,7,2,,15-12,2,0.5,Maine,Owings,,2:46,N,35682,1.09,1,,2008
28,"Saturday, May 3",NYM,A,ARI,L,4,10,,15-13,2,0.5,Webb,Pelfrey,,3:27,D,34744,1.17,-1,,2008
29,"Sunday, May 4",NYM,A,ARI,W,5,2,,16-13,2,0.5,Sosa,Qualls,Wagner,3:15,D,37593,1.15,1,,2008
30,"Monday, May 5",NYM,A,LAD,L,1,5,,16-14,3,1.5,Billingsley,Perez,,2:38,N,44181,1.18,-1,,2008
31,"Tuesday, May 6",NYM,A,LAD,L,4,5,,16-15,3,1.5,Kuo,Figueroa,Saito,3:21,N,43927,1.12,-2,,2008
32,"Wednesday, May 7",NYM,A,LAD,W,12,1,,17-15,3,1.5,Maine,Penny,,2:45,D,40696,1.1,1,,2008
33,"Saturday, May 10 (1)",NYM,H,CIN,W,12,6,,18-15,3,3.0,Santana,Belisle,,3:12,D,55186,1.08,2,2008-05-09 (Rain),2008
34,"Saturday, May 10 (2)",NYM,H,CIN,L,1,7,,18-16,3,3.0,Arroyo,Pelfrey,,2:43,N,47673,1.16,-1,,2008
35,"Sunday, May 11",NYM,H,CIN,W,8,3,,19-16,2,3.0,Perez,Cueto,,3:11,D,49264,1.05,1,,2008
36,"Monday, May 12",NYM,H,WSN,L,4,10,,19-17,3,3.0,Perez,Figueroa,,3:15,N,45321,1.18,-1,,2008
37,"Tuesday, May 13",NYM,H,WSN,W,6,3,,20-17,3,2.0,Maine,Lannan,Wagner,2:48,N,46618,1.14,1,,2008
38,"Wednesday, May 14",NYM,H,WSN,L,3,5,,20-18,3,2.0,Redding,Vargas,Rauch,3:04,N,48529,1.19,-1,,2008
39,"Thursday, May 15",NYM,H,WSN,L,0,1,,20-19,3,2.5,Bergmann,Pelfrey,Rauch,2:22,D,51769,1.16,-2,,2008
40,"Saturday, May 17",NYM,A,NYY,W,7,4,,21-19,3,2.0,Santana,Pettitte,Wagner,3:08,D,55093,0.99,1,,2008
41,"Sunday, May 18",NYM,A,NYY,W,11,2,,22-19,2,1.0,Perez,Wang,,2:58,N,55012,1.06,2,,2008
42,"Tuesday, May 20 (1)",NYM,A,ATL,L,1,6,,22-20,4,2.5,Glavine,Maine,,2:44,D,26873,1.34,-1,2008-04-04 (Rain),2008
43,"Tuesday, May 20 (2)",NYM,A,ATL,L,2,6,,22-21,4,2.5,Campillo,Vargas,Acosta,2:30,N,25590,1.29,-2,,2008
44,"Wednesday, May 21",NYM,A,ATL,L,4,11,,22-22,4,3.5,Jurrjens,Pelfrey,,3:14,N,30335,1.25,-3,,2008
45,"Thursday, May 22",NYM,A,ATL,L,2,4,,22-23,4,4.5,Hudson,Santana,Ohman,2:21,N,30348,1.11,-4,,2008
46,"Friday, May 23",NYM,A,COL,L-wo,5,6,13,22-24,4,4.5,Buchholz,Heilman,,4:15,N,33341,0.91,-5,,2008
47,"Saturday, May 24",NYM,A,COL,W,9,2,,23-24,4,4.0,Vargas,Francis,,2:48,D,38142,0.83,1,,2008
48,"Sunday, May 25",NYM,A,COL,L,1,4,,23-25,4,5.5,Cook,Maine,,2:28,D,42123,0.9,-1,,2008
49,"Monday, May 26",NYM,H,FLA,L,3,7,,23-26,4,6.5,Nolasco,Pelfrey,,2:59,N,51489,0.99,-2,,2008
50,"Tuesday, May 27",NYM,H,FLA,W,5,3,,24-26,4,5.5,Santana,Miller,Wagner,2:50,N,47093,0.88,1,,2008
51,"Wednesday, May 28",NYM,H,FLA,W-wo,7,6,12,25-26,4,4.5,Sanchez,Miller,,3:39,N,47769,0.96,2,,2008
52,"Thursday, May 29",NYM,H,LAD,W,8,4,,26-26,4,4.0,Vargas,Penny,,3:04,N,52886,0.9,3,,2008
53,"Friday, May 30",NYM,H,LAD,L,5,9,,26-27,4,4.5,Park,Heilman,,3:10,N,52176,0.94,-1,,2008
54,"Saturday, May 31",NYM,H,LAD,W,3,2,,27-27,4,4.0,Sanchez,Broxton,Wagner,2:48,D,53528,0.83,1,,2008
55,"Sunday, Jun 1",NYM,H,LAD,W,6,1,,28-27,3,3.5,Santana,Kuroda,,2:55,N,50263,0.93,2,,2008
56,"Monday, Jun 2",NYM,A,SFG,L,2,10,,28-28,4,4.5,Sanchez,Perez,,2:44,N,36126,0.98,-1,,2008
57,"Tuesday, Jun 3",NYM,A,SFG,W,9,6,,29-28,4,4.5,Martinez,Zito,Wagner,3:08,N,35233,0.96,1,,2008
58,"Wednesday, Jun 4",NYM,A,SFG,W,5,3,,30-28,3,3.5,Maine,Cain,Wagner,2:43,D,35646,0.97,2,,2008
59,"Thursday, Jun 5",NYM,A,SDP,L-wo,1,2,,30-29,4,4.5,Hoffman,Schoeneweis,,3:00,N,28867,1.08,-1,,2008
60,"Friday, Jun 6",NYM,A,SDP,L,1,2,,30-30,4,5.5,Wolf,Santana,Hoffman,2:38,N,27749,1,-2,,2008
61,"Saturday, Jun 7",NYM,A,SDP,L-wo,1,2,10,30-31,4,6.5,Adams,Feliciano,,3:07,N,38972,0.94,-3,,2008
62,"Sunday, Jun 8",NYM,A,SDP,L,6,8,,30-32,4,7.5,Guevara,Wagner,Hoffman,3:15,D,31992,0.87,-4,,2008
63,"Tuesday, Jun 10",NYM,H,ARI,L,5,9,,30-33,4,7.5,Qualls,Smith,,3:18,N,45808,0.79,-5,,2008
64,"Wednesday, Jun 11",NYM,H,ARI,W-wo,5,3,13,31-33,3,6.5,Vargas,Gonzalez,,3:54,N,46503,0.69,1,,2008
65,"Thursday, Jun 12",NYM,H,ARI,L,4,5,10,31-34,3,7.5,Lyon,Heilman,,3:36,D,47042,0.75,-1,,2008
66,"Friday, Jun 13",NYM,H,TEX,W,7,1,,32-34,3,7.5,Perez,Feldman,,2:52,N,49880,0.66,1,,2008
67,"Sunday, Jun 15 (1)",NYM,H,TEX,L,7,8,,32-35,3,6.5,Millwood,Maine,Wilson,3:23,D,NA,0.76,-1,2008-06-14 (Rain),2008
68,"Sunday, Jun 15 (2)",NYM,H,TEX,W,4,2,,33-35,3,6.5,Martinez,Gabbard,Wagner,2:46,N,55438,0.69,1,,2008
69,"Monday, Jun 16",NYM,A,LAA,W,9,6,,34-35,3,6.5,Pelfrey,Weaver,Wagner,3:10,N,39229,0.76,2,,2008
70,"Tuesday, Jun 17",NYM,A,LAA,L,1,6,,34-36,3,6.5,Lackey,Santana,Shields,2:35,N,40122,0.8,-1,,2008
71,"Wednesday, Jun 18",NYM,A,LAA,W,5,4,10,35-36,3,5.5,Sanchez,Speier,Wagner,3:13,N,43138,0.78,1,,2008
72,"Friday, Jun 20",NYM,A,COL,W,7,2,,36-36,3,4.5,Maine,Cook,,2:37,N,30411,0.9,2,,2008
73,"Saturday, Jun 21",NYM,A,COL,L,1,7,,36-37,3,4.5,Jimenez,Martinez,,2:38,N,35637,1.06,-1,,2008
74,"Sunday, Jun 22",NYM,A,COL,W,3,1,,37-37,3,3.5,Pelfrey,Reynolds,Wagner,2:34,D,45019,0.94,1,,2008
75,"Monday, Jun 23",NYM,H,SEA,L,2,5,,37-38,3,4.0,Rowland-Smith,Santana,Rhodes,2:39,N,49789,1.03,-1,,2008
76,"Tuesday, Jun 24",NYM,H,SEA,L,0,11,,37-39,3,4.0,Dickey,Perez,,2:45,N,49386,0.94,-2,,2008
77,"Wednesday, Jun 25",NYM,H,SEA,W,8,2,,38-39,3,4.0,Maine,Batista,,2:25,N,52154,0.91,1,,2008
78,"Friday, Jun 27 (1)",NYM,A,NYY,W,15,6,,39-39,3,3.0,Pelfrey,Giese,,3:54,D,54978,1.05,2,2008-05-16 (Rain),2008
79,"Friday, Jun 27 (2)",NYM,H,NYY,L,0,9,,39-40,3,3.0,Ponson,Martinez,,3:11,N,56308,1.13,-1,,2008
80,"Saturday, Jun 28",NYM,H,NYY,L,2,3,,39-41,3,4.0,Pettitte,Santana,Rivera,3:00,D,56172,1.07,-2,,2008
