Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
43,"Saturday, May 21",NYM,H,NYY,W,7,1,,23-20,3,2.0,Benson,Johnson,,2:56,D,55800,1.03,1,,2005
44,"Sunday, May 22",NYM,H,NYY,L,3,5,,23-21,4,3.0,Pavano,Hernandez,Rivera,2:49,D,55953,1.08,-1,,2005
45,"Monday, May 23",NYM,A,ATL,L,6,8,,23-22,4,4.0,Ramirez,Ishii,Kolb,2:58,N,26132,1.2,-2,,2005
46,"Tuesday, May 24",NYM,A,ATL,L,0,4,,23-23,4,5.0,Hudson,Glavine,,2:25,N,28927,1.1,-3,,2005
47,"Wednesday, May 25",NYM,A,ATL,L,0,3,,23-24,4,5.0,Davies,Zambrano,Reitsma,2:50,N,33250,0.99,-4,,2005
48,"Thursday, May 26",NYM,A,FLA,W,12,4,,24-24,4,4.0,Benson,Castillo,,3:10,N,20308,0.97,1,,2005
49,"Friday, May 27",NYM,A,FLA,W,1,0,,25-24,3,3.0,Martinez,Moehler,Looper,2:22,N,25891,1.1,2,,2005
50,"Saturday, May 28",NYM,A,FLA,W,6,1,,26-24,3,2.0,Ishii,Willis,,2:53,N,35223,1.16,3,,2005
51,"Sunday, May 29",NYM,A,FLA,L,3,6,,26-25,3,3.0,Beckett,Bell,Jones,2:41,D,30214,1.28,-1,,2005
52,"Tuesday, May 31",NYM,H,ARI,L,0,7,,26-26,4,2.5,Halsey,Benson,,3:07,N,33955,1.07,-2,,2005
53,"Wednesday, Jun 1",NYM,H,ARI,W,2,1,,27-26,3,2.5,Zambrano,Webb,Looper,2:21,N,33436,1.02,1,,2005
54,"Thursday, Jun 2",NYM,H,ARI,W,6,1,,28-26,3,1.5,Martinez,Estes,,2:23,N,28260,1.08,2,,2005
55,"Saturday, Jun 4",NYM,H,SFG,W,5,1,,29-26,3,1.0,Glavine,Lowry,,2:51,D,37194,1.09,3,,2005
56,"Sunday, Jun 5 (1)",NYM,H,SFG,L,3,6,,29-27,3,1.0,Tomko,Ishii,Walker,2:54,D,NA,1.15,-1,2005-06-03 (Rain),2005
57,"Sunday, Jun 5 (2)",NYM,H,SFG,W,12,1,,30-27,3,1.0,Benson,Schmidt,,2:58,N,33460,1.08,1,,2005
58,"Tuesday, Jun 7",NYM,H,HOU,W,3,1,,31-27,2,1.0,Martinez,Oswalt,,2:15,N,39953,1.13,2,,2005
59,"Wednesday, Jun 8",NYM,H,HOU,L,1,4,,31-28,3,2.0,Backe,Zambrano,Lidge,3:06,N,23635,1.21,-1,,2005
60,"Thursday, Jun 9",NYM,H,HOU,L,3,6,11,31-29,4,3.0,Springer,Bell,Lidge,3:22,N,30737,1.13,-2,,2005
61,"Friday, Jun 10",NYM,H,LAA,L,2,12,,31-30,5,4.0,Colon,Ishii,,3:01,N,31131,1.02,-3,,2005
62,"Saturday, Jun 11",NYM,H,LAA,W-wo,5,3,10,32-30,5,4.0,Looper,Donnelly,,3:17,N,33889,0.92,1,,2005
63,"Sunday, Jun 12",NYM,H,LAA,L,3,4,,32-31,5,5.0,Shields,Looper,Rodriguez,2:53,D,43582,0.97,-1,,2005
64,"Tuesday, Jun 14",NYM,A,OAK,L,0,5,,32-32,5,5.5,Blanton,Glavine,Street,2:24,N,18744,0.9,-2,,2005
65,"Wednesday, Jun 15",NYM,A,OAK,L-wo,2,3,,32-33,5,6.5,Duchscherer,Ring,,2:33,N,27598,0.81,-3,,2005
66,"Thursday, Jun 16",NYM,A,OAK,W,9,6,,33-33,5,6.0,Benson,Glynn,Looper,2:50,D,17308,0.79,1,,2005
67,"Friday, Jun 17",NYM,A,SEA,L,0,5,,33-34,5,6.0,Moyer,Ishii,Nelson,2:36,N,37443,0.82,-1,,2005
68,"Saturday, Jun 18",NYM,A,SEA,L,1,4,,33-35,5,6.0,Franklin,Martinez,Guardado,2:30,N,45841,0.79,-2,,2005
69,"Sunday, Jun 19",NYM,A,SEA,L,5,11,,33-36,5,7.0,Meche,Glavine,,3:09,D,45785,0.73,-3,,2005
70,"Tuesday, Jun 21",NYM,A,PHI,W,8,5,,34-36,5,6.5,Benson,Myers,Looper,2:57,N,43050,0.77,1,,2005
71,"Wednesday, Jun 22",NYM,A,PHI,L,4,8,,34-37,5,7.5,Madson,Ring,,3:02,N,42640,0.87,-1,,2005
72,"Thursday, Jun 23",NYM,A,PHI,W,4,3,,35-37,5,7.0,Ishii,Lidle,Looper,3:04,D,45449,0.76,1,,2005
73,"Friday, Jun 24",NYM,A,NYY,W,6,4,,36-37,5,7.0,Martinez,Mussina,,2:50,N,55297,0.78,2,,2005
74,"Saturday, Jun 25",NYM,A,NYY,W,10,3,,37-37,5,7.0,Glavine,Henn,,3:18,D,55114,0.83,3,,2005
75,"Sunday, Jun 26",NYM,A,NYY,L-wo,4,5,,37-38,5,7.0,Rivera,Looper,,3:25,N,55327,0.91,-1,,2005
